city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Vienna,Austria,48.2082,16.3738,daily,2015-01-01,2.2,-2.6,0.9,0.1,0.1,15.7,0.91
Vienna,Austria,48.2082,16.3738,daily,2015-01-02,9.1,-3.7,2.9,0.9,0.9,25.6,4.43
Vienna,Austria,48.2082,16.3738,daily,2015-01-03,4.8,0.8,3.0,5.5,2.7,25.1,3.48
Vienna,Austria,48.2082,16.3738,daily,2015-01-04,4.3,0.5,2.1,5.9,2.3,31.4,4.47
Vienna,Austria,48.2082,16.3738,daily,2015-01-05,3.4,0.1,1.7,4.4,2.1,29.2,1.62
Vienna,Austria,48.2082,16.3738,daily,2015-01-06,1.7,-4.0,-0.5,0.1,0.0,17.1,4.42
Vienna,Austria,48.2082,16.3738,daily,2015-01-07,-0.4,-5.2,-2.5,1.5,0.0,13.6,2.48
Vienna,Austria,48.2082,16.3738,daily,2015-01-08,0.2,-4.5,-1.6,0.1,0.1,13.0,2.43
Vienna,Austria,48.2082,16.3738,daily,2015-01-09,9.3,3.1,7.2,2.5,2.5,35.3,2.93
Vienna,Austria,48.2082,16.3738,daily,2015-01-10,15.1,8.7,12.4,7.3,7.3,39.5,3.44
Vienna,Austria,48.2082,16.3738,daily,2015-01-11,12.6,3.1,5.9,5.3,5.3,34.2,2.31
Vienna,Austria,48.2082,16.3738,daily,2015-01-12,7.3,-0.4,4.2,1.2,1.2,31.7,4.35
Vienna,Austria,48.2082,16.3738,daily,2015-01-13,9.5,-2.0,1.7,0.0,0.0,11.0,5.97
Vienna,Austria,48.2082,16.3738,daily,2015-01-14,6.3,-2.2,2.3,0.7,0.7,28.9,3.9
Vienna,Austria,48.2082,16.3738,daily,2015-01-15,6.5,-0.7,3.5,0.0,0.0,26.8,4.98
Vienna,Austria,48.2082,16.3738,daily,2015-01-16,5.8,1.4,3.2,0.0,0.0,10.7,3.42
Vienna,Austria,48.2082,16.3738,daily,2015-01-17,8.6,1.1,5.0,1.0,1.0,15.2,2.38
Vienna,Austria,48.2082,16.3738,daily,2015-01-18,4.2,1.1,2.7,0.0,0.0,11.1,2.73
Vienna,Austria,48.2082,16.3738,daily,2015-01-19,4.5,0.6,2.3,0.0,0.0,7.4,1.93
Vienna,Austria,48.2082,16.3738,daily,2015-01-20,5.4,-0.3,2.4,0.0,0.0,17.1,2.43
Vienna,Austria,48.2082,16.3738,daily,2015-01-21,4.6,-2.2,1.9,0.0,0.0,17.0,3.47
Vienna,Austria,48.2082,16.3738,daily,2015-01-22,7.1,4.3,5.5,0.0,0.0,24.1,2.23
Vienna,Austria,48.2082,16.3738,daily,2015-01-23,6.0,1.8,4.6,0.8,0.8,20.8,1.36
Vienna,Austria,48.2082,16.3738,daily,2015-01-24,2.2,0.3,1.3,1.8,0.2,26.1,2.37
Vienna,Austria,48.2082,16.3738,daily,2015-01-25,2.8,0.1,1.3,2.5,0.3,26.0,3.28
Vienna,Austria,48.2082,16.3738,daily,2015-01-26,3.7,-3.4,0.6,0.0,0.0,14.8,4.29
Vienna,Austria,48.2082,16.3738,daily,2015-01-27,5.0,-3.8,0.5,3.7,0.9,19.6,5.04
Vienna,Austria,48.2082,16.3738,daily,2015-01-28,4.6,-0.6,1.3,0.0,0.0,19.6,5.55
Vienna,Austria,48.2082,16.3738,daily,2015-01-29,3.8,-0.7,1.1,0.2,0.1,23.0,2.74
Vienna,Austria,48.2082,16.3738,daily,2015-01-30,2.8,-0.5,1.4,4.3,1.8,28.4,1.87
Vienna,Austria,48.2082,16.3738,daily,2015-01-31,5.2,-2.7,0.3,0.0,0.0,18.6,6.56
Vienna,Austria,48.2082,16.3738,daily,2015-02-01,4.7,-2.4,0.4,0.0,0.0,9.1,5.58
Vienna,Austria,48.2082,16.3738,daily,2015-02-02,3.9,-1.6,0.7,0.2,0.1,15.2,6.36
Vienna,Austria,48.2082,16.3738,daily,2015-02-03,4.4,-2.8,0.2,0.0,0.0,14.3,7.72
Vienna,Austria,48.2082,16.3738,daily,2015-02-04,3.0,-3.6,-0.4,0.0,0.0,11.0,3.78
Vienna,Austria,48.2082,16.3738,daily,2015-02-05,1.9,-4.4,-1.8,0.0,0.0,11.4,5.54
Vienna,Austria,48.2082,16.3738,daily,2015-02-06,1.6,-3.7,-2.0,0.0,0.0,21.3,8.22
Vienna,Austria,48.2082,16.3738,daily,2015-02-07,1.9,-4.2,-1.4,0.0,0.0,26.3,8.24
Vienna,Austria,48.2082,16.3738,daily,2015-02-08,2.0,-2.4,-0.2,1.1,0.1,33.4,6.26
Vienna,Austria,48.2082,16.3738,daily,2015-02-09,2.8,-2.8,0.2,9.4,2.1,32.9,2.01
Vienna,Austria,48.2082,16.3738,daily,2015-02-10,4.5,2.6,3.5,2.1,2.1,27.2,2.94
Vienna,Austria,48.2082,16.3738,daily,2015-02-11,5.3,1.4,2.9,0.0,0.0,13.1,5.3
Vienna,Austria,48.2082,16.3738,daily,2015-02-12,7.0,-0.7,2.6,0.0,0.0,18.8,9.19
Vienna,Austria,48.2082,16.3738,daily,2015-02-13,6.7,-1.5,1.9,0.0,0.0,18.8,9.08
Vienna,Austria,48.2082,16.3738,daily,2015-02-14,7.9,-1.7,2.6,0.0,0.0,18.2,8.61
Vienna,Austria,48.2082,16.3738,daily,2015-02-15,9.3,0.5,4.0,0.0,0.0,26.7,9.47
Vienna,Austria,48.2082,16.3738,daily,2015-02-16,8.9,-2.3,3.2,0.0,0.0,19.4,10.44
Vienna,Austria,48.2082,16.3738,daily,2015-02-17,5.7,-1.8,1.3,0.0,0.0,23.7,9.54
Vienna,Austria,48.2082,16.3738,daily,2015-02-18,3.5,-1.5,0.7,0.0,0.0,9.0,3.65
Vienna,Austria,48.2082,16.3738,daily,2015-02-19,7.5,-2.1,1.9,0.0,0.0,8.5,9.08
Vienna,Austria,48.2082,16.3738,daily,2015-02-20,9.2,-1.3,2.9,0.0,0.0,16.6,11.23
Vienna,Austria,48.2082,16.3738,daily,2015-02-21,11.1,-0.4,4.3,0.0,0.0,15.0,11.24
Vienna,Austria,48.2082,16.3738,daily,2015-02-22,7.7,-0.3,3.8,3.2,3.2,11.1,5.8
Vienna,Austria,48.2082,16.3738,daily,2015-02-23,8.7,2.5,4.7,0.0,0.0,17.1,7.01
Vienna,Austria,48.2082,16.3738,daily,2015-02-24,6.5,2.9,4.8,7.9,7.9,18.3,2.26
Vienna,Austria,48.2082,16.3738,daily,2015-02-25,7.3,2.5,4.8,3.4,3.2,23.0,4.35
Vienna,Austria,48.2082,16.3738,daily,2015-02-26,6.7,1.5,4.6,0.0,0.0,20.7,4.59
Vienna,Austria,48.2082,16.3738,daily,2015-02-27,9.7,-0.0,4.4,0.0,0.0,19.3,10.45
Vienna,Austria,48.2082,16.3738,daily,2015-02-28,9.0,-0.9,4.5,0.1,0.1,17.0,9.15
Vienna,Austria,48.2082,16.3738,daily,2015-03-01,10.3,-2.2,4.1,0.8,0.8,8.0,9.32
Vienna,Austria,48.2082,16.3738,daily,2015-03-02,12.4,3.2,6.5,3.6,3.6,27.8,7.38
Vienna,Austria,48.2082,16.3738,daily,2015-03-03,8.6,-0.7,4.5,0.0,0.0,29.9,13.54
Vienna,Austria,48.2082,16.3738,daily,2015-03-04,8.9,-2.3,3.4,0.1,0.1,24.5,11.87
Vienna,Austria,48.2082,16.3738,daily,2015-03-05,7.5,0.3,3.6,0.2,0.2,21.4,12.32
Vienna,Austria,48.2082,16.3738,daily,2015-03-06,7.0,-1.0,2.5,0.2,0.2,18.0,10.43
Vienna,Austria,48.2082,16.3738,daily,2015-03-07,9.1,-0.5,4.4,0.0,0.0,9.4,10.0
Vienna,Austria,48.2082,16.3738,daily,2015-03-08,9.6,-1.9,4.0,0.0,0.0,17.7,14.32
Vienna,Austria,48.2082,16.3738,daily,2015-03-09,11.4,0.0,4.9,0.0,0.0,15.7,12.73
Vienna,Austria,48.2082,16.3738,daily,2015-03-10,11.8,0.4,5.3,0.0,0.0,9.0,14.27
Vienna,Austria,48.2082,16.3738,daily,2015-03-11,6.6,0.5,4.1,7.6,7.6,20.7,2.59
Vienna,Austria,48.2082,16.3738,daily,2015-03-12,8.0,2.3,4.7,0.0,0.0,24.2,10.1
Vienna,Austria,48.2082,16.3738,daily,2015-03-13,7.4,2.8,4.8,0.0,0.0,21.5,5.43
Vienna,Austria,48.2082,16.3738,daily,2015-03-14,6.6,2.2,4.0,1.4,1.4,12.5,6.24
Vienna,Austria,48.2082,16.3738,daily,2015-03-15,9.7,1.9,5.5,0.2,0.2,23.4,10.29
Vienna,Austria,48.2082,16.3738,daily,2015-03-16,11.9,3.9,7.9,0.0,0.0,28.2,10.73
Vienna,Austria,48.2082,16.3738,daily,2015-03-17,12.6,4.0,7.9,0.0,0.0,22.0,15.99
Vienna,Austria,48.2082,16.3738,daily,2015-03-18,10.9,0.6,5.6,0.0,0.0,16.0,16.65
Vienna,Austria,48.2082,16.3738,daily,2015-03-19,10.0,-2.4,3.9,0.0,0.0,7.6,17.08
Vienna,Austria,48.2082,16.3738,daily,2015-03-20,10.6,-2.7,4.1,0.0,0.0,11.6,17.31
Vienna,Austria,48.2082,16.3738,daily,2015-03-21,13.6,-0.4,6.7,0.0,0.0,10.0,17.3
Vienna,Austria,48.2082,16.3738,daily,2015-03-22,9.5,0.3,5.7,0.0,0.0,20.1,11.28
Vienna,Austria,48.2082,16.3738,daily,2015-03-23,10.1,-3.2,4.0,0.0,0.0,12.8,17.43
Vienna,Austria,48.2082,16.3738,daily,2015-03-24,15.6,3.1,9.2,0.0,0.0,17.1,17.57
Vienna,Austria,48.2082,16.3738,daily,2015-03-25,16.1,3.6,10.4,0.7,0.7,25.2,13.09
Vienna,Austria,48.2082,16.3738,daily,2015-03-26,15.4,7.4,11.0,2.8,2.8,18.4,9.95
Vienna,Austria,48.2082,16.3738,daily,2015-03-27,11.3,6.6,8.6,3.9,3.9,26.3,7.18
Vienna,Austria,48.2082,16.3738,daily,2015-03-28,11.0,1.3,7.3,0.3,0.3,30.2,11.81
Vienna,Austria,48.2082,16.3738,daily,2015-03-29,13.4,-0.5,8.0,1.4,1.4,19.5,7.25
Vienna,Austria,48.2082,16.3738,daily,2015-03-30,11.4,5.2,8.8,3.3,3.3,30.4,10.34
Vienna,Austria,48.2082,16.3738,daily,2015-03-31,14.2,3.6,8.3,3.3,3.3,42.4,7.63
Vienna,Austria,48.2082,16.3738,daily,2015-04-01,8.2,3.5,5.7,2.0,2.0,32.1,16.55
Vienna,Austria,48.2082,16.3738,daily,2015-04-02,8.0,1.9,4.1,5.4,5.2,27.8,8.86
Vienna,Austria,48.2082,16.3738,daily,2015-04-03,9.5,-0.3,4.6,0.2,0.2,30.4,18.1
Vienna,Austria,48.2082,16.3738,daily,2015-04-04,9.6,-2.4,4.2,0.0,0.0,9.4,16.87
Vienna,Austria,48.2082,16.3738,daily,2015-04-05,8.4,-1.5,3.6,0.4,0.4,18.1,18.36
Vienna,Austria,48.2082,16.3738,daily,2015-04-06,8.1,-0.6,3.7,1.3,1.3,19.1,18.08
Vienna,Austria,48.2082,16.3738,daily,2015-04-07,9.9,0.8,5.6,0.0,0.0,25.2,13.87
Vienna,Austria,48.2082,16.3738,daily,2015-04-08,10.3,5.2,7.6,3.7,3.7,25.5,7.33
Vienna,Austria,48.2082,16.3738,daily,2015-04-09,13.5,5.5,9.2,0.0,0.0,13.2,17.68
Vienna,Austria,48.2082,16.3738,daily,2015-04-10,18.0,3.0,11.0,0.0,0.0,14.8,20.13
Vienna,Austria,48.2082,16.3738,daily,2015-04-11,19.0,6.9,12.7,0.8,0.8,11.6,19.3
Vienna,Austria,48.2082,16.3738,daily,2015-04-12,17.4,7.2,13.3,0.1,0.1,18.5,15.88
Vienna,Austria,48.2082,16.3738,daily,2015-04-13,18.7,4.7,12.0,1.3,1.3,27.5,19.03
Vienna,Austria,48.2082,16.3738,daily,2015-04-14,16.5,5.7,10.7,0.0,0.0,17.4,19.74
Vienna,Austria,48.2082,16.3738,daily,2015-04-15,22.0,7.3,15.4,0.0,0.0,21.1,22.24
Vienna,Austria,48.2082,16.3738,daily,2015-04-16,23.8,7.0,16.4,0.0,0.0,23.9,21.25
Vienna,Austria,48.2082,16.3738,daily,2015-04-17,17.6,8.8,12.8,12.4,12.4,19.0,11.44
Vienna,Austria,48.2082,16.3738,daily,2015-04-18,11.4,3.0,8.1,0.3,0.3,21.3,20.16
Vienna,Austria,48.2082,16.3738,daily,2015-04-19,12.2,0.4,6.9,0.0,0.0,11.2,15.13
Vienna,Austria,48.2082,16.3738,daily,2015-04-20,16.9,2.2,10.7,0.0,0.0,28.1,20.59
Vienna,Austria,48.2082,16.3738,daily,2015-04-21,19.0,6.2,13.2,0.0,0.0,27.0,23.08
Vienna,Austria,48.2082,16.3738,daily,2015-04-22,18.3,8.7,13.5,0.0,0.0,15.9,22.51
Vienna,Austria,48.2082,16.3738,daily,2015-04-23,19.0,6.6,12.8,1.5,1.5,16.9,21.43
Vienna,Austria,48.2082,16.3738,daily,2015-04-24,19.1,8.1,13.4,0.0,0.0,14.4,20.83
Vienna,Austria,48.2082,16.3738,daily,2015-04-25,22.7,7.9,15.8,0.0,0.0,16.1,24.18
Vienna,Austria,48.2082,16.3738,daily,2015-04-26,21.6,10.8,16.0,1.0,1.0,14.3,19.81
Vienna,Austria,48.2082,16.3738,daily,2015-04-27,24.0,10.7,17.4,0.0,0.0,21.7,21.99
Vienna,Austria,48.2082,16.3738,daily,2015-04-28,19.4,7.3,12.5,2.3,2.3,32.6,12.28
Vienna,Austria,48.2082,16.3738,daily,2015-04-29,15.0,5.9,10.5,0.0,0.0,23.4,25.07
Vienna,Austria,48.2082,16.3738,daily,2015-04-30,17.0,4.4,10.6,0.7,0.7,17.8,16.65
Vienna,Austria,48.2082,16.3738,daily,2015-05-01,15.7,4.2,11.1,0.2,0.2,7.9,11.59
Vienna,Austria,48.2082,16.3738,daily,2015-05-02,15.1,9.7,12.0,3.7,3.7,12.4,8.32
Vienna,Austria,48.2082,16.3738,daily,2015-05-03,15.5,8.2,12.0,2.2,2.2,18.4,7.6
Vienna,Austria,48.2082,16.3738,daily,2015-05-04,23.2,11.6,17.5,0.1,0.1,16.6,15.28
Vienna,Austria,48.2082,16.3738,daily,2015-05-05,26.3,14.4,20.1,0.0,0.0,21.6,22.77
Vienna,Austria,48.2082,16.3738,daily,2015-05-06,20.0,12.1,16.6,9.2,9.2,23.0,7.44
Vienna,Austria,48.2082,16.3738,daily,2015-05-07,20.1,10.2,15.5,0.1,0.1,16.2,22.4
Vienna,Austria,48.2082,16.3738,daily,2015-05-08,22.1,11.6,16.9,0.0,0.0,17.9,19.02
Vienna,Austria,48.2082,16.3738,daily,2015-05-09,21.3,10.0,16.2,5.9,5.9,19.7,18.75
Vienna,Austria,48.2082,16.3738,daily,2015-05-10,19.6,12.3,16.2,0.0,0.0,26.9,20.21
Vienna,Austria,48.2082,16.3738,daily,2015-05-11,18.9,7.8,14.1,0.0,0.0,10.0,26.88
Vienna,Austria,48.2082,16.3738,daily,2015-05-12,24.9,7.4,17.3,0.0,0.0,16.4,25.21
Vienna,Austria,48.2082,16.3738,daily,2015-05-13,22.8,12.6,17.9,0.7,0.7,18.3,19.18
Vienna,Austria,48.2082,16.3738,daily,2015-05-14,20.5,12.9,16.9,6.9,6.9,24.2,21.03
Vienna,Austria,48.2082,16.3738,daily,2015-05-15,16.4,12.2,14.0,0.1,0.1,15.4,8.42
Vienna,Austria,48.2082,16.3738,daily,2015-05-16,21.5,9.3,16.5,0.0,0.0,17.0,20.84
Vienna,Austria,48.2082,16.3738,daily,2015-05-17,18.7,12.3,15.9,0.0,0.0,19.5,11.83
Vienna,Austria,48.2082,16.3738,daily,2015-05-18,21.8,10.2,16.5,0.0,0.0,20.7,18.55
Vienna,Austria,48.2082,16.3738,daily,2015-05-19,22.6,12.0,17.5,3.9,3.9,20.2,18.65
Vienna,Austria,48.2082,16.3738,daily,2015-05-20,21.6,10.7,14.8,2.7,2.7,24.4,12.88
Vienna,Austria,48.2082,16.3738,daily,2015-05-21,15.9,10.3,13.0,0.1,0.1,20.3,9.54
Vienna,Austria,48.2082,16.3738,daily,2015-05-22,14.5,10.9,12.9,3.9,3.9,27.2,6.69
Vienna,Austria,48.2082,16.3738,daily,2015-05-23,13.1,10.3,11.7,20.7,20.7,16.5,3.76
Vienna,Austria,48.2082,16.3738,daily,2015-05-24,14.3,11.4,12.6,0.9,0.9,17.1,4.63
Vienna,Austria,48.2082,16.3738,daily,2015-05-25,19.1,11.6,15.2,0.2,0.2,21.7,12.3
Vienna,Austria,48.2082,16.3738,daily,2015-05-26,17.6,11.4,14.1,8.7,8.7,24.0,10.22
Vienna,Austria,48.2082,16.3738,daily,2015-05-27,15.7,10.0,12.5,0.7,0.7,26.6,19.53
Vienna,Austria,48.2082,16.3738,daily,2015-05-28,17.7,8.1,13.0,0.0,0.0,14.6,19.13
Vienna,Austria,48.2082,16.3738,daily,2015-05-29,22.5,7.5,16.4,0.0,0.0,17.0,24.6
Vienna,Austria,48.2082,16.3738,daily,2015-05-30,22.4,10.7,17.2,2.0,2.0,13.4,19.23
Vienna,Austria,48.2082,16.3738,daily,2015-05-31,21.9,11.7,17.4,0.0,0.0,17.7,22.87
Vienna,Austria,48.2082,16.3738,daily,2015-06-01,25.2,13.0,20.0,0.0,0.0,12.4,23.69
Vienna,Austria,48.2082,16.3738,daily,2015-06-02,26.4,15.3,21.1,0.0,0.0,13.7,25.25
Vienna,Austria,48.2082,16.3738,daily,2015-06-03,29.2,14.2,22.9,0.0,0.0,9.6,24.98
Vienna,Austria,48.2082,16.3738,daily,2015-06-04,27.0,16.5,22.2,0.0,0.0,15.3,27.44
Vienna,Austria,48.2082,16.3738,daily,2015-06-05,26.3,13.0,20.5,0.0,0.0,11.4,28.54
Vienna,Austria,48.2082,16.3738,daily,2015-06-06,29.3,15.7,23.0,0.0,0.0,15.3,27.91
Vienna,Austria,48.2082,16.3738,daily,2015-06-07,29.7,17.6,24.2,0.0,0.0,12.2,27.15
Vienna,Austria,48.2082,16.3738,daily,2015-06-08,29.7,17.2,24.3,0.0,0.0,13.7,23.9
Vienna,Austria,48.2082,16.3738,daily,2015-06-09,26.0,16.3,20.5,0.8,0.8,21.2,22.63
Vienna,Austria,48.2082,16.3738,daily,2015-06-10,25.7,14.3,19.9,0.0,0.0,17.4,25.54
Vienna,Austria,48.2082,16.3738,daily,2015-06-11,27.5,15.6,22.0,0.0,0.0,10.8,25.26
Vienna,Austria,48.2082,16.3738,daily,2015-06-12,30.5,19.6,25.5,1.1,1.1,24.6,25.57
Vienna,Austria,48.2082,16.3738,daily,2015-06-13,31.8,18.1,24.4,2.4,2.4,10.7,24.75
Vienna,Austria,48.2082,16.3738,daily,2015-06-14,29.5,17.5,24.0,0.7,0.7,13.9,22.02
Vienna,Austria,48.2082,16.3738,daily,2015-06-15,22.3,16.8,19.9,11.6,11.6,20.0,11.67
Vienna,Austria,48.2082,16.3738,daily,2015-06-16,22.2,15.9,18.8,0.0,0.0,15.6,19.56
Vienna,Austria,48.2082,16.3738,daily,2015-06-17,18.5,12.4,16.2,0.0,0.0,20.6,18.57
Vienna,Austria,48.2082,16.3738,daily,2015-06-18,21.5,9.3,17.1,0.0,0.0,17.7,17.03
Vienna,Austria,48.2082,16.3738,daily,2015-06-19,19.8,12.2,16.7,4.0,4.0,16.9,18.62
Vienna,Austria,48.2082,16.3738,daily,2015-06-20,17.9,10.7,14.2,7.7,7.7,19.3,21.72
Vienna,Austria,48.2082,16.3738,daily,2015-06-21,19.3,10.6,15.2,0.6,0.6,17.7,23.94
Vienna,Austria,48.2082,16.3738,daily,2015-06-22,23.8,11.5,18.0,1.1,1.1,12.7,20.73
Vienna,Austria,48.2082,16.3738,daily,2015-06-23,16.8,14.4,15.5,0.9,0.9,22.1,7.98
Vienna,Austria,48.2082,16.3738,daily,2015-06-24,19.7,12.8,16.1,0.1,0.1,18.5,18.81
Vienna,Austria,48.2082,16.3738,daily,2015-06-25,22.0,10.5,17.0,0.0,0.0,12.3,20.89
Vienna,Austria,48.2082,16.3738,daily,2015-06-26,24.5,11.1,19.0,0.0,0.0,12.7,21.12
Vienna,Austria,48.2082,16.3738,daily,2015-06-27,25.7,14.7,19.9,2.9,2.9,16.2,17.62
Vienna,Austria,48.2082,16.3738,daily,2015-06-28,24.1,14.5,19.4,4.7,4.7,21.7,21.4
Vienna,Austria,48.2082,16.3738,daily,2015-06-29,24.4,11.9,19.3,0.0,0.0,10.5,20.02
Vienna,Austria,48.2082,16.3738,daily,2015-06-30,26.0,12.8,20.9,0.0,0.0,6.1,22.09
Vienna,Austria,48.2082,16.3738,daily,2015-07-01,28.9,16.1,23.5,0.0,0.0,11.4,25.33
Vienna,Austria,48.2082,16.3738,daily,2015-07-02,30.0,16.6,24.4,0.0,0.0,11.5,24.71
Vienna,Austria,48.2082,16.3738,daily,2015-07-03,30.7,17.9,25.1,0.0,0.0,15.3,27.73
Vienna,Austria,48.2082,16.3738,daily,2015-07-04,32.5,18.2,26.3,0.0,0.0,15.4,28.14
Vienna,Austria,48.2082,16.3738,daily,2015-07-05,34.4,17.4,27.7,0.0,0.0,11.0,27.93
Vienna,Austria,48.2082,16.3738,daily,2015-07-06,32.9,20.0,27.6,0.0,0.0,27.6,26.07
Vienna,Austria,48.2082,16.3738,daily,2015-07-07,35.6,20.7,29.0,0.0,0.0,17.3,25.28
Vienna,Austria,48.2082,16.3738,daily,2015-07-08,30.8,18.1,24.1,14.0,14.0,21.3,15.43
Vienna,Austria,48.2082,16.3738,daily,2015-07-09,23.1,15.9,19.4,0.0,0.0,27.9,22.71
Vienna,Austria,48.2082,16.3738,daily,2015-07-10,23.5,13.7,18.5,0.0,0.0,19.9,24.21
Vienna,Austria,48.2082,16.3738,daily,2015-07-11,25.8,12.3,19.8,0.0,0.0,8.9,27.96
Vienna,Austria,48.2082,16.3738,daily,2015-07-12,30.1,15.6,24.1,0.0,0.0,16.4,23.76
Vienna,Austria,48.2082,16.3738,daily,2015-07-13,25.2,18.4,21.5,0.8,0.8,23.2,18.17
Vienna,Austria,48.2082,16.3738,daily,2015-07-14,24.5,17.6,21.0,4.1,4.1,19.6,12.09
Vienna,Austria,48.2082,16.3738,daily,2015-07-15,26.8,19.6,23.4,0.3,0.3,16.9,20.19
Vienna,Austria,48.2082,16.3738,daily,2015-07-16,30.0,18.4,25.2,0.0,0.0,11.1,24.42
Vienna,Austria,48.2082,16.3738,daily,2015-07-17,34.7,21.0,28.6,0.0,0.0,9.0,25.81
Vienna,Austria,48.2082,16.3738,daily,2015-07-18,33.2,21.3,27.4,0.0,0.0,15.1,20.95
Vienna,Austria,48.2082,16.3738,daily,2015-07-19,36.2,20.3,27.8,2.4,2.4,18.4,22.56
Vienna,Austria,48.2082,16.3738,daily,2015-07-20,29.7,22.8,26.3,0.0,0.0,20.5,19.29
Vienna,Austria,48.2082,16.3738,daily,2015-07-21,33.8,20.8,27.9,0.0,0.0,8.4,23.82
Vienna,Austria,48.2082,16.3738,daily,2015-07-22,36.5,20.1,29.6,0.0,0.0,16.8,26.14
Vienna,Austria,48.2082,16.3738,daily,2015-07-23,30.9,24.2,27.4,2.4,2.4,19.6,18.23
Vienna,Austria,48.2082,16.3738,daily,2015-07-24,33.6,21.4,27.7,1.0,1.0,17.1,23.73
Vienna,Austria,48.2082,16.3738,daily,2015-07-25,31.0,21.6,26.2,1.6,1.6,24.1,16.97
Vienna,Austria,48.2082,16.3738,daily,2015-07-26,25.3,18.3,21.4,0.0,0.0,23.2,25.39
Vienna,Austria,48.2082,16.3738,daily,2015-07-27,22.6,17.7,20.0,1.2,1.2,15.6,12.21
Vienna,Austria,48.2082,16.3738,daily,2015-07-28,24.7,17.6,21.4,0.0,0.0,16.5,12.77
Vienna,Austria,48.2082,16.3738,daily,2015-07-29,21.4,15.1,18.4,11.7,11.7,14.3,12.05
Vienna,Austria,48.2082,16.3738,daily,2015-07-30,22.8,15.8,19.2,0.2,0.2,14.0,17.11
Vienna,Austria,48.2082,16.3738,daily,2015-07-31,24.2,14.5,20.0,0.0,0.0,10.1,20.74
Vienna,Austria,48.2082,16.3738,daily,2015-08-01,26.9,12.4,21.0,0.0,0.0,25.7,25.97
Vienna,Austria,48.2082,16.3738,daily,2015-08-02,23.0,17.4,19.9,5.3,5.3,11.2,11.25
Vienna,Austria,48.2082,16.3738,daily,2015-08-03,28.8,16.1,22.7,0.0,0.0,9.4,21.98
Vienna,Austria,48.2082,16.3738,daily,2015-08-04,30.0,19.6,25.4,0.0,0.0,17.2,21.58
Vienna,Austria,48.2082,16.3738,daily,2015-08-05,31.7,21.5,26.6,0.0,0.0,21.6,23.2
Vienna,Austria,48.2082,16.3738,daily,2015-08-06,33.9,20.6,27.9,0.0,0.0,11.0,23.19
Vienna,Austria,48.2082,16.3738,daily,2015-08-07,34.3,22.8,29.0,0.0,0.0,14.9,22.37
Vienna,Austria,48.2082,16.3738,daily,2015-08-08,35.2,23.3,29.6,0.0,0.0,23.2,21.52
Vienna,Austria,48.2082,16.3738,daily,2015-08-09,34.9,21.1,29.1,0.0,0.0,17.1,20.75
Vienna,Austria,48.2082,16.3738,daily,2015-08-10,34.5,21.8,28.6,0.0,0.0,14.7,23.1
Vienna,Austria,48.2082,16.3738,daily,2015-08-11,34.3,20.5,28.5,0.0,0.0,9.3,19.3
Vienna,Austria,48.2082,16.3738,daily,2015-08-12,35.0,21.0,28.9,0.0,0.0,8.7,19.23
Vienna,Austria,48.2082,16.3738,daily,2015-08-13,35.6,22.5,29.2,0.3,0.3,11.6,21.63
Vienna,Austria,48.2082,16.3738,daily,2015-08-14,35.1,24.1,29.5,1.4,1.4,23.9,20.16
Vienna,Austria,48.2082,16.3738,daily,2015-08-15,32.5,24.4,28.3,0.7,0.7,14.5,18.65
Vienna,Austria,48.2082,16.3738,daily,2015-08-16,30.1,20.6,24.6,6.4,6.4,16.3,16.15
Vienna,Austria,48.2082,16.3738,daily,2015-08-17,20.1,16.7,18.7,20.3,20.3,21.6,5.54
Vienna,Austria,48.2082,16.3738,daily,2015-08-18,19.6,14.2,17.1,11.6,11.6,20.4,7.25
Vienna,Austria,48.2082,16.3738,daily,2015-08-19,20.3,13.9,17.5,3.3,3.3,18.4,10.13
Vienna,Austria,48.2082,16.3738,daily,2015-08-20,17.4,14.8,16.0,12.5,12.5,12.2,3.29
Vienna,Austria,48.2082,16.3738,daily,2015-08-21,21.7,14.0,17.8,0.7,0.7,10.9,14.94
Vienna,Austria,48.2082,16.3738,daily,2015-08-22,22.4,12.7,17.9,0.0,0.0,9.4,17.95
Vienna,Austria,48.2082,16.3738,daily,2015-08-23,22.2,13.8,18.6,0.4,0.4,26.3,18.04
Vienna,Austria,48.2082,16.3738,daily,2015-08-24,27.8,16.8,22.2,0.0,0.0,24.5,19.76
Vienna,Austria,48.2082,16.3738,daily,2015-08-25,21.3,14.9,19.1,1.0,1.0,19.9,7.56
Vienna,Austria,48.2082,16.3738,daily,2015-08-26,25.3,11.1,19.3,0.0,0.0,10.0,22.33
Vienna,Austria,48.2082,16.3738,daily,2015-08-27,29.4,16.2,22.7,0.0,0.0,18.0,21.74
Vienna,Austria,48.2082,16.3738,daily,2015-08-28,30.7,17.5,24.3,0.0,0.0,8.7,20.46
Vienna,Austria,48.2082,16.3738,daily,2015-08-29,32.2,18.3,25.9,0.0,0.0,9.5,20.57
Vienna,Austria,48.2082,16.3738,daily,2015-08-30,34.6,20.8,27.6,0.0,0.0,16.9,21.0
Vienna,Austria,48.2082,16.3738,daily,2015-08-31,34.8,19.2,27.3,0.0,0.0,18.7,21.14
